2025-10-10 15:24:31.467 [info] Reading sessions from keychain...
2025-10-10 15:24:31.467 [info] Got stored sessions!
2025-10-10 15:24:31.467 [info] Got 2 verified sessions.
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for user:email...
2025-10-10 15:24:31.467 [info] Got 1 sessions for user:email...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.467 [info] Got 2 sessions for ...
2025-10-10 15:24:31.467 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.468 [info] Got 2 sessions for ...
2025-10-10 15:24:31.468 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.468 [info] Got 2 sessions for ...
2025-10-10 15:24:31.468 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.468 [info] Got 2 sessions for ...
2025-10-10 15:24:31.468 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.468 [info] Got 2 sessions for ...
2025-10-10 15:24:31.468 [info] Getting sessions for all scopes...
2025-10-10 15:24:31.468 [info] Got 2 sessions for ...
2025-10-10 15:24:31.468 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-10-10 15:24:31.468 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2025-10-10 15:24:40.124 [info] fetching: Electron fetch failed with status: 429 
